disease,baseline_severity
Fungal infection,2
Allergy,2
GERD,2
Chronic cholestasis,3
Drug Reaction,3
Peptic ulcer diseae,3
AIDS,3
Diabetes,2
Gastroenteritis,2
Bronchial Asthma,3
Hypertension,2
Migraine,2
Cervical spondylosis,2
Paralysis (brain hemorrhage),4
Jaundice,3
Malaria,3
Chicken pox,2
Dengue,3
Typhoid,3
hepatitis A,3
Hepatitis B,3
Hepatitis C,3
Hepatitis D,3
Hepatitis E,3
Alcoholic hepatitis,3
Tuberculosis,4
Common Cold,1
Pneumonia,3
Dimorphic hemmorhoids(piles),2
Heart attack,4
Varicose veins,2
Hypothyroidism,2
Hyperthyroidism,2
Hypoglycemia,3
Osteoarthristis,2
Arthritis,2
(vertigo) Paroymsal  Positional Vertigo,2
Acne,1
Urinary tract infection,2
Psoriasis,2
Impetigo,2
